"","identifier","Politician","date","word","sentiment","event_index"
"1",1,"Barack Obama",2020-05-08,"medical","anticipation","8"
"2",1,"Barack Obama",2020-05-08,"medical","fear","8"
"3",1,"Barack Obama",2020-05-08,"medical","positive","8"
"4",1,"Barack Obama",2020-05-08,"medical","trust","8"
"5",1,"Barack Obama",2020-05-08,"continue","anticipation","8"
"6",1,"Barack Obama",2020-05-08,"continue","positive","8"
"7",1,"Barack Obama",2020-05-08,"continue","trust","8"
"8",1,"Barack Obama",2020-05-08,"grateful","positive","8"
"9",1,"Barack Obama",2020-05-08,"safe","joy","8"
"10",1,"Barack Obama",2020-05-08,"safe","positive","8"
"11",1,"Barack Obama",2020-05-08,"safe","trust","8"
"12",1,"Barack Obama",2020-05-08,"physician","positive","8"
"13",1,"Barack Obama",2020-05-08,"physician","trust","8"
"14",1,"Barack Obama",2020-05-08,"hospital","fear","8"
"15",1,"Barack Obama",2020-05-08,"hospital","sadness","8"
"16",1,"Barack Obama",2020-05-08,"hospital","trust","8"
"17",1,"Barack Obama",2020-05-08,"difficult","fear","8"
"18",1,"Barack Obama",2020-05-08,"hospital","fear","8"
"19",1,"Barack Obama",2020-05-08,"hospital","sadness","8"
"20",1,"Barack Obama",2020-05-08,"hospital","trust","8"
"21",1,"Barack Obama",2020-05-08,"hospital","fear","8"
"22",1,"Barack Obama",2020-05-08,"hospital","sadness","8"
"23",1,"Barack Obama",2020-05-08,"hospital","trust","8"
"24",1,"Barack Obama",2020-05-08,"county","trust","8"
"25",1,"Barack Obama",2020-05-08,"communicate","positive","8"
"26",1,"Barack Obama",2020-05-08,"communicate","trust","8"
"27",1,"Barack Obama",2020-05-08,"build","positive","8"
"28",1,"Barack Obama",2020-05-08,"facilitate","positive","8"
"29",1,"Barack Obama",2020-05-08,"calls","anticipation","8"
"30",1,"Barack Obama",2020-05-08,"calls","negative","8"
"31",1,"Barack Obama",2020-05-08,"calls","trust","8"
"32",1,"Barack Obama",2020-05-08,"ill","anger","8"
"33",1,"Barack Obama",2020-05-08,"ill","disgust","8"
"34",1,"Barack Obama",2020-05-08,"ill","fear","8"
"35",1,"Barack Obama",2020-05-08,"ill","negative","8"
"36",1,"Barack Obama",2020-05-08,"ill","sadness","8"
"37",1,"Barack Obama",2020-05-08,"hope","anticipation","8"
"38",1,"Barack Obama",2020-05-08,"hope","joy","8"
"39",1,"Barack Obama",2020-05-08,"hope","positive","8"
"40",1,"Barack Obama",2020-05-08,"hope","surprise","8"
"41",1,"Barack Obama",2020-05-08,"hope","trust","8"
"42",1,"Barack Obama",2020-05-08,"food","joy","8"
"43",1,"Barack Obama",2020-05-08,"food","positive","8"
"44",1,"Barack Obama",2020-05-08,"food","trust","8"
"45",1,"Barack Obama",2020-05-08,"outstanding","joy","8"
"46",1,"Barack Obama",2020-05-08,"outstanding","negative","8"
"47",1,"Barack Obama",2020-05-08,"outstanding","positive","8"
"48",1,"Barack Obama",2020-05-08,"job","positive","8"
"49",1,"Barack Obama",2020-05-08,"supporting","positive","8"
"50",1,"Barack Obama",2020-05-08,"supporting","trust","8"
"51",1,"Barack Obama",2020-05-08,"rising","anticipation","8"
"52",1,"Barack Obama",2020-05-08,"rising","joy","8"
"53",1,"Barack Obama",2020-05-08,"rising","positive","8"
"54",1,"Barack Obama",2020-05-08,"challenge","anger","8"
"55",1,"Barack Obama",2020-05-08,"challenge","fear","8"
"56",1,"Barack Obama",2020-05-08,"challenge","negative","8"
"57",1,"Barack Obama",2020-05-08,"feeling","anger","8"
"58",1,"Barack Obama",2020-05-08,"feeling","anticipation","8"
"59",1,"Barack Obama",2020-05-08,"feeling","disgust","8"
"60",1,"Barack Obama",2020-05-08,"feeling","fear","8"
"61",1,"Barack Obama",2020-05-08,"feeling","joy","8"
"62",1,"Barack Obama",2020-05-08,"feeling","negative","8"
"63",1,"Barack Obama",2020-05-08,"feeling","positive","8"
"64",1,"Barack Obama",2020-05-08,"feeling","sadness","8"
"65",1,"Barack Obama",2020-05-08,"feeling","surprise","8"
"66",1,"Barack Obama",2020-05-08,"feeling","trust","8"
"67",2,"Barack Obama",2020-05-06,"dedication","positive","8"
"68",2,"Barack Obama",2020-05-06,"thankful","joy","8"
"69",2,"Barack Obama",2020-05-06,"thankful","positive","8"
"70",2,"Barack Obama",2020-05-06,"track","anticipation","8"
"71",2,"Barack Obama",2020-05-06,"crisis","negative","8"
"72",3,"Barack Obama",2020-05-05,"culmination","positive","8"
"73",3,"Barack Obama",2020-05-05,"excited","anticipation","8"
"74",3,"Barack Obama",2020-05-05,"excited","joy","8"
"75",3,"Barack Obama",2020-05-05,"excited","positive","8"
"76",3,"Barack Obama",2020-05-05,"excited","surprise","8"
"77",3,"Barack Obama",2020-05-05,"excited","trust","8"
"78",4,"Barack Obama",2020-05-01,"thanksgiving","joy","8"
"79",4,"Barack Obama",2020-05-01,"thanksgiving","positive","8"
"80",4,"Barack Obama",2020-05-01,"time","anticipation","8"
"81",4,"Barack Obama",2020-05-01,"difficult","fear","8"
"82",4,"Barack Obama",2020-05-01,"hungry","anticipation","8"
"83",4,"Barack Obama",2020-05-01,"hungry","negative","8"
"84",4,"Barack Obama",2020-05-01,"crisis","negative","8"
"85",4,"Barack Obama",2020-05-01,"increase","positive","8"
"86",4,"Barack Obama",2020-05-01,"demand","anger","8"
"87",4,"Barack Obama",2020-05-01,"demand","negative","8"
"88",4,"Barack Obama",2020-05-01,"continue","anticipation","8"
"89",4,"Barack Obama",2020-05-01,"continue","positive","8"
"90",4,"Barack Obama",2020-05-01,"continue","trust","8"
"91",4,"Barack Obama",2020-05-01,"hungry","anticipation","8"
"92",4,"Barack Obama",2020-05-01,"hungry","negative","8"
"93",5,"Barack Obama",2020-04-30,"opportunity","anticipation","8"
"94",5,"Barack Obama",2020-04-30,"opportunity","positive","8"
"95",5,"Barack Obama",2020-04-30,"knowing","positive","8"
"96",5,"Barack Obama",2020-04-30,"resources","joy","8"
"97",5,"Barack Obama",2020-04-30,"resources","positive","8"
"98",5,"Barack Obama",2020-04-30,"resources","trust","8"
"99",5,"Barack Obama",2020-04-30,"deserved","positive","8"
"100",5,"Barack Obama",2020-04-30,"alliance","trust","8"
"101",5,"Barack Obama",2020-04-30,"community","positive","8"
"102",5,"Barack Obama",2020-04-30,"hit","anger","8"
"103",5,"Barack Obama",2020-04-30,"hit","negative","8"
"104",5,"Barack Obama",2020-04-30,"pandemic","fear","8"
"105",5,"Barack Obama",2020-04-30,"pandemic","negative","8"
"106",5,"Barack Obama",2020-04-30,"pandemic","sadness","8"
"107",5,"Barack Obama",2020-04-30,"chance","surprise","8"
"108",5,"Barack Obama",2020-04-30,"join","positive","8"
"109",5,"Barack Obama",2020-04-30,"calls","anticipation","8"
"110",5,"Barack Obama",2020-04-30,"calls","negative","8"
"111",5,"Barack Obama",2020-04-30,"calls","trust","8"
"112",5,"Barack Obama",2020-04-30,"time","anticipation","8"
