"name","date","followers","followers_change","rank","republican","followers_1k","description","date_label"
"barackobama",2019-12-09,25363295,3824,1,FALSE,25363,"Coronavirus yet to occur","2019-12-09 :  Coronavirus yet to occur"
"berniesanders",2019-12-09,3940671,2058,3,FALSE,3941,"Coronavirus yet to occur","2019-12-09 :  Coronavirus yet to occur"
"joebiden",2019-12-09,1394795,70,5,FALSE,1395,"Coronavirus yet to occur","2019-12-09 :  Coronavirus yet to occur"
"elizabethwarren",2019-12-09,2174094,962,4,FALSE,2174,"Coronavirus yet to occur","2019-12-09 :  Coronavirus yet to occur"
"realdonaldtrump",2019-12-09,15562376,9339,2,TRUE,15562,"Coronavirus yet to occur","2019-12-09 :  Coronavirus yet to occur"
"sentedcruz",2019-12-09,414504,196,6,TRUE,415,"Coronavirus yet to occur","2019-12-09 :  Coronavirus yet to occur"
"barackobama",2019-12-10,25365878,2583,1,FALSE,25366,"Coronavirus yet to occur","2019-12-10 :  Coronavirus yet to occur"
"berniesanders",2019-12-10,3942089,1418,3,FALSE,3942,"Coronavirus yet to occur","2019-12-10 :  Coronavirus yet to occur"
"joebiden",2019-12-10,1395149,354,5,FALSE,1395,"Coronavirus yet to occur","2019-12-10 :  Coronavirus yet to occur"
"elizabethwarren",2019-12-10,2174655,561,4,FALSE,2175,"Coronavirus yet to occur","2019-12-10 :  Coronavirus yet to occur"
"realdonaldtrump",2019-12-10,15570478,8102,2,TRUE,15570,"Coronavirus yet to occur","2019-12-10 :  Coronavirus yet to occur"
"sentedcruz",2019-12-10,414616,112,6,TRUE,415,"Coronavirus yet to occur","2019-12-10 :  Coronavirus yet to occur"
"barackobama",2019-12-11,25367791,1913,1,FALSE,25368,"Coronavirus yet to occur","2019-12-11 :  Coronavirus yet to occur"
"berniesanders",2019-12-11,3943798,1709,3,FALSE,3944,"Coronavirus yet to occur","2019-12-11 :  Coronavirus yet to occur"
"joebiden",2019-12-11,1395606,457,5,FALSE,1396,"Coronavirus yet to occur","2019-12-11 :  Coronavirus yet to occur"
"elizabethwarren",2019-12-11,2175707,1052,4,FALSE,2176,"Coronavirus yet to occur","2019-12-11 :  Coronavirus yet to occur"
"realdonaldtrump",2019-12-11,15580470,9992,2,TRUE,15580,"Coronavirus yet to occur","2019-12-11 :  Coronavirus yet to occur"
"sentedcruz",2019-12-11,414728,112,6,TRUE,415,"Coronavirus yet to occur","2019-12-11 :  Coronavirus yet to occur"
"barackobama",2019-12-12,25370446,2655,1,FALSE,25370,"Coronavirus yet to occur","2019-12-12 :  Coronavirus yet to occur"
