"name","date.x","followers","followers_change","month","followers_m","followers_c_m","rank","month_rank","republican","followers_1k","date.y","description","month_label"
"barackobama",2019-06-30,23115734,12597,"2019-06",687407860,463001,1,1,FALSE,23116,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"barackobama",2019-06-29,23103137,14687,"2019-06",687407860,463001,1,1,FALSE,23103,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"barackobama",2019-06-28,23088450,19287,"2019-06",687407860,463001,1,1,FALSE,23088,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"barackobama",2019-06-27,23069163,20047,"2019-06",687407860,463001,1,1,FALSE,23069,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"barackobama",2019-06-26,23049116,20297,"2019-06",687407860,463001,1,1,FALSE,23049,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"barackobama",2019-06-25,23028819,13007,"2019-06",687407860,463001,1,1,FALSE,23029,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"barackobama",2019-06-24,23015812,15218,"2019-06",687407860,463001,1,1,FALSE,23016,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"barackobama",2019-06-23,23000594,14316,"2019-06",687407860,463001,1,1,FALSE,23001,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"barackobama",2019-06-22,22986278,11016,"2019-06",687407860,463001,1,1,FALSE,22986,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"barackobama",2019-06-21,22975262,11153,"2019-06",687407860,463001,1,1,FALSE,22975,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"barackobama",2019-06-20,22964109,13901,"2019-06",687407860,463001,1,1,FALSE,22964,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"barackobama",2019-06-19,22950208,11331,"2019-06",687407860,463001,1,1,FALSE,22950,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"barackobama",2019-06-18,22938877,9718,"2019-06",687407860,463001,1,1,FALSE,22939,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"barackobama",2019-06-17,22929159,11968,"2019-06",687407860,463001,1,1,FALSE,22929,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"barackobama",2019-06-16,22917191,12050,"2019-06",687407860,463001,1,1,FALSE,22917,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"barackobama",2019-06-15,22905141,12314,"2019-06",687407860,463001,1,1,FALSE,22905,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"barackobama",2019-06-14,22892827,9597,"2019-06",687407860,463001,1,1,FALSE,22893,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"barackobama",2019-06-13,22883230,8349,"2019-06",687407860,463001,1,1,FALSE,22883,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"barackobama",2019-06-12,22874881,9501,"2019-06",687407860,463001,1,1,FALSE,22875,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"barackobama",2019-06-11,22865380,12095,"2019-06",687407860,463001,1,1,FALSE,22865,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"barackobama",2019-06-10,22853285,11985,"2019-06",687407860,463001,1,1,FALSE,22853,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"barackobama",2019-06-09,22841300,10343,"2019-06",687407860,463001,1,1,FALSE,22841,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"barackobama",2019-06-08,22830957,8254,"2019-06",687407860,463001,1,1,FALSE,22831,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"barackobama",2019-06-07,22822703,10960,"2019-06",687407860,463001,1,1,FALSE,22823,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"barackobama",2019-06-06,22811743,14707,"2019-06",687407860,463001,1,1,FALSE,22812,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"barackobama",2019-06-05,22797036,29978,"2019-06",687407860,463001,1,1,FALSE,22797,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"barackobama",2019-06-04,22767058,32540,"2019-06",687407860,463001,1,1,FALSE,22767,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"barackobama",2019-06-03,22734518,21589,"2019-06",687407860,463001,1,1,FALSE,22735,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"barackobama",2019-06-02,22712929,29966,"2019-06",687407860,463001,1,1,FALSE,22713,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"barackobama",2019-06-01,22682963,30230,"2019-06",687407860,463001,1,1,FALSE,22683,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"berniesanders",2019-06-30,3367136,4591,"2019-06",99736784,62799,3,3,FALSE,3367,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"berniesanders",2019-06-29,3362545,7352,"2019-06",99736784,62799,3,3,FALSE,3363,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"berniesanders",2019-06-28,3355193,6901,"2019-06",99736784,62799,3,3,FALSE,3355,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"berniesanders",2019-06-27,3348292,5181,"2019-06",99736784,62799,3,3,FALSE,3348,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"berniesanders",2019-06-26,3343111,4419,"2019-06",99736784,62799,3,3,FALSE,3343,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"berniesanders",2019-06-25,3338692,3812,"2019-06",99736784,62799,3,3,FALSE,3339,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"berniesanders",2019-06-24,3334880,1802,"2019-06",99736784,62799,3,3,FALSE,3335,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"berniesanders",2019-06-23,3333078,1658,"2019-06",99736784,62799,3,3,FALSE,3333,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"berniesanders",2019-06-22,3331420,1977,"2019-06",99736784,62799,3,3,FALSE,3331,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"berniesanders",2019-06-21,3329443,1809,"2019-06",99736784,62799,3,3,FALSE,3329,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"berniesanders",2019-06-20,3327634,1507,"2019-06",99736784,62799,3,3,FALSE,3328,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"berniesanders",2019-06-19,3326127,2924,"2019-06",99736784,62799,3,3,FALSE,3326,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"berniesanders",2019-06-18,3323203,815,"2019-06",99736784,62799,3,3,FALSE,3323,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"berniesanders",2019-06-17,3322388,1742,"2019-06",99736784,62799,3,3,FALSE,3322,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"berniesanders",2019-06-16,3320646,2005,"2019-06",99736784,62799,3,3,FALSE,3321,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"berniesanders",2019-06-15,3318641,1776,"2019-06",99736784,62799,3,3,FALSE,3319,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"berniesanders",2019-06-14,3316865,-97,"2019-06",99736784,62799,3,3,FALSE,3317,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"berniesanders",2019-06-13,3316962,1903,"2019-06",99736784,62799,3,3,FALSE,3317,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"berniesanders",2019-06-12,3315059,407,"2019-06",99736784,62799,3,3,FALSE,3315,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"berniesanders",2019-06-11,3314652,629,"2019-06",99736784,62799,3,3,FALSE,3315,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"berniesanders",2019-06-10,3314023,915,"2019-06",99736784,62799,3,3,FALSE,3314,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"berniesanders",2019-06-09,3313108,971,"2019-06",99736784,62799,3,3,FALSE,3313,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"berniesanders",2019-06-08,3312137,1233,"2019-06",99736784,62799,3,3,FALSE,3312,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"berniesanders",2019-06-07,3310904,2049,"2019-06",99736784,62799,3,3,FALSE,3311,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"berniesanders",2019-06-06,3308855,406,"2019-06",99736784,62799,3,3,FALSE,3309,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"berniesanders",2019-06-05,3308449,993,"2019-06",99736784,62799,3,3,FALSE,3308,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"berniesanders",2019-06-04,3307456,914,"2019-06",99736784,62799,3,3,FALSE,3307,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"berniesanders",2019-06-03,3306542,1484,"2019-06",99736784,62799,3,3,FALSE,3307,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"berniesanders",2019-06-02,3305058,773,"2019-06",99736784,62799,3,3,FALSE,3305,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"berniesanders",2019-06-01,3304285,-52,"2019-06",99736784,62799,3,3,FALSE,3304,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"realdonaldtrump",2019-06-30,13547706,21227,"2019-06",397888137,475822,2,2,TRUE,13548,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"realdonaldtrump",2019-06-29,13526479,94365,"2019-06",397888137,475822,2,2,TRUE,13526,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"realdonaldtrump",2019-06-28,13432114,21432,"2019-06",397888137,475822,2,2,TRUE,13432,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"realdonaldtrump",2019-06-27,13410682,10113,"2019-06",397888137,475822,2,2,TRUE,13411,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"realdonaldtrump",2019-06-26,13400569,13182,"2019-06",397888137,475822,2,2,TRUE,13401,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"realdonaldtrump",2019-06-25,13387387,11985,"2019-06",397888137,475822,2,2,TRUE,13387,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"realdonaldtrump",2019-06-24,13375402,17846,"2019-06",397888137,475822,2,2,TRUE,13375,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"realdonaldtrump",2019-06-23,13357556,21419,"2019-06",397888137,475822,2,2,TRUE,13358,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"realdonaldtrump",2019-06-22,13336137,22433,"2019-06",397888137,475822,2,2,TRUE,13336,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"realdonaldtrump",2019-06-21,13313704,17146,"2019-06",397888137,475822,2,2,TRUE,13314,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"realdonaldtrump",2019-06-20,13296558,10691,"2019-06",397888137,475822,2,2,TRUE,13297,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"realdonaldtrump",2019-06-19,13285867,12560,"2019-06",397888137,475822,2,2,TRUE,13286,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"realdonaldtrump",2019-06-18,13273307,10205,"2019-06",397888137,475822,2,2,TRUE,13273,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"realdonaldtrump",2019-06-17,13263102,12583,"2019-06",397888137,475822,2,2,TRUE,13263,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"realdonaldtrump",2019-06-16,13250519,12690,"2019-06",397888137,475822,2,2,TRUE,13251,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"realdonaldtrump",2019-06-15,13237829,17090,"2019-06",397888137,475822,2,2,TRUE,13238,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"realdonaldtrump",2019-06-14,13220739,4892,"2019-06",397888137,475822,2,2,TRUE,13221,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"realdonaldtrump",2019-06-13,13215847,10752,"2019-06",397888137,475822,2,2,TRUE,13216,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"realdonaldtrump",2019-06-12,13205095,7046,"2019-06",397888137,475822,2,2,TRUE,13205,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"realdonaldtrump",2019-06-11,13198049,10904,"2019-06",397888137,475822,2,2,TRUE,13198,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"realdonaldtrump",2019-06-10,13187145,12209,"2019-06",397888137,475822,2,2,TRUE,13187,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"realdonaldtrump",2019-06-09,13174936,9658,"2019-06",397888137,475822,2,2,TRUE,13175,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"realdonaldtrump",2019-06-08,13165278,7831,"2019-06",397888137,475822,2,2,TRUE,13165,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"realdonaldtrump",2019-06-07,13157447,8072,"2019-06",397888137,475822,2,2,TRUE,13157,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"realdonaldtrump",2019-06-06,13149375,13116,"2019-06",397888137,475822,2,2,TRUE,13149,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"realdonaldtrump",2019-06-05,13136259,18956,"2019-06",397888137,475822,2,2,TRUE,13136,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"realdonaldtrump",2019-06-04,13117303,19352,"2019-06",397888137,475822,2,2,TRUE,13117,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"realdonaldtrump",2019-06-03,13097951,9733,"2019-06",397888137,475822,2,2,TRUE,13098,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"realdonaldtrump",2019-06-02,13088218,8641,"2019-06",397888137,475822,2,2,TRUE,13088,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"realdonaldtrump",2019-06-01,13079577,7693,"2019-06",397888137,475822,2,2,TRUE,13080,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"sentedcruz",2019-06-30,400608,130,"2019-06",11974353,2896,4,4,TRUE,401,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"sentedcruz",2019-06-29,400478,333,"2019-06",11974353,2896,4,4,TRUE,400,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"sentedcruz",2019-06-28,400145,388,"2019-06",11974353,2896,4,4,TRUE,400,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"sentedcruz",2019-06-27,399757,151,"2019-06",11974353,2896,4,4,TRUE,400,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"sentedcruz",2019-06-26,399606,32,"2019-06",11974353,2896,4,4,TRUE,400,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"sentedcruz",2019-06-25,399574,88,"2019-06",11974353,2896,4,4,TRUE,400,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"sentedcruz",2019-06-24,399486,122,"2019-06",11974353,2896,4,4,TRUE,399,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"sentedcruz",2019-06-23,399364,100,"2019-06",11974353,2896,4,4,TRUE,399,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"sentedcruz",2019-06-22,399264,-5,"2019-06",11974353,2896,4,4,TRUE,399,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"sentedcruz",2019-06-21,399269,6,"2019-06",11974353,2896,4,4,TRUE,399,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"sentedcruz",2019-06-20,399263,-21,"2019-06",11974353,2896,4,4,TRUE,399,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
"sentedcruz",2019-06-19,399284,76,"2019-06",11974353,2896,4,4,TRUE,399,2019-06-01,"Coronavirus yet to occur","2019-06 :  Coronavirus yet to occur"
