"","Politician","sentiment","month","count","total_month","proportion"
"1","Barack Obama","anger","December",1,104,0.01
"2","Barack Obama","anger","January",1,37,0.027
"3","Barack Obama","anger","February",1,66,0.015
"4","Barack Obama","anger","March",4,99,0.04
"5","Barack Obama","anger","April",10,302,0.033
"6","Barack Obama","anger","May",4,92,0.043
"7","Barack Obama","anticipation","December",20,104,0.192
"8","Barack Obama","anticipation","January",5,37,0.135
"9","Barack Obama","anticipation","February",11,66,0.167
"10","Barack Obama","anticipation","March",8,99,0.081
"11","Barack Obama","anticipation","April",39,302,0.129
"12","Barack Obama","anticipation","May",12,92,0.13
"13","Barack Obama","disgust","January",1,37,0.027
"14","Barack Obama","disgust","March",1,99,0.01
"15","Barack Obama","disgust","April",3,302,0.01
"16","Barack Obama","disgust","May",2,92,0.022
"17","Barack Obama","fear","December",4,104,0.038
"18","Barack Obama","fear","January",1,37,0.027
"19","Barack Obama","fear","February",1,66,0.015
"20","Barack Obama","fear","March",6,99,0.061
"21","Barack Obama","fear","April",26,302,0.086
"22","Barack Obama","fear","May",9,92,0.098
"23","Barack Obama","joy","December",18,104,0.173
"24","Barack Obama","joy","January",8,37,0.216
"25","Barack Obama","joy","February",11,66,0.167
"26","Barack Obama","joy","March",14,99,0.141
"27","Barack Obama","joy","April",34,302,0.113
"28","Barack Obama","joy","May",9,92,0.098
"29","Barack Obama","negative","December",4,104,0.038
"30","Barack Obama","negative","February",3,66,0.045
"31","Barack Obama","negative","March",8,99,0.081
"32","Barack Obama","negative","April",29,302,0.096
"33","Barack Obama","negative","May",10,92,0.109
"34","Barack Obama","positive","December",30,104,0.288
"35","Barack Obama","positive","January",9,37,0.243
"36","Barack Obama","positive","February",21,66,0.318
"37","Barack Obama","positive","March",37,99,0.374
"38","Barack Obama","positive","April",80,302,0.265
"39","Barack Obama","positive","May",22,92,0.239
"40","Barack Obama","sadness","December",2,104,0.019
"41","Barack Obama","sadness","January",1,37,0.027
"42","Barack Obama","sadness","February",2,66,0.03
"43","Barack Obama","sadness","March",4,99,0.04
"44","Barack Obama","sadness","April",12,302,0.04
"45","Barack Obama","sadness","May",5,92,0.054
"46","Barack Obama","surprise","December",10,104,0.096
"47","Barack Obama","surprise","January",2,37,0.054
"48","Barack Obama","surprise","February",6,66,0.091
"49","Barack Obama","surprise","March",2,99,0.02
"50","Barack Obama","surprise","April",12,302,0.04
"51","Barack Obama","surprise","May",3,92,0.033
"52","Barack Obama","trust","December",15,104,0.144
"53","Barack Obama","trust","January",9,37,0.243
"54","Barack Obama","trust","February",10,66,0.152
"55","Barack Obama","trust","March",15,99,0.152
"56","Barack Obama","trust","April",57,302,0.189
"57","Barack Obama","trust","May",16,92,0.174
"58","Bernie Sanders","anger","December",82,952,0.086
"59","Bernie Sanders","anger","January",125,1827,0.068
"60","Bernie Sanders","anger","February",101,1409,0.072
"61","Bernie Sanders","anger","March",133,1471,0.09
"62","Bernie Sanders","anger","April",7,198,0.035
"63","Bernie Sanders","anger","May",8,77,0.104
"64","Bernie Sanders","anticipation","December",103,952,0.108
"65","Bernie Sanders","anticipation","January",218,1827,0.119
"66","Bernie Sanders","anticipation","February",178,1409,0.126
"67","Bernie Sanders","anticipation","March",155,1471,0.105
"68","Bernie Sanders","anticipation","April",20,198,0.101
"69","Bernie Sanders","anticipation","May",3,77,0.039
"70","Bernie Sanders","disgust","December",38,952,0.04
"71","Bernie Sanders","disgust","January",64,1827,0.035
"72","Bernie Sanders","disgust","February",25,1409,0.018
"73","Bernie Sanders","disgust","March",44,1471,0.03
"74","Bernie Sanders","disgust","April",5,198,0.025
"75","Bernie Sanders","disgust","May",2,77,0.026
"76","Bernie Sanders","fear","December",93,952,0.098
"77","Bernie Sanders","fear","January",168,1827,0.092
"78","Bernie Sanders","fear","February",83,1409,0.059
"79","Bernie Sanders","fear","March",97,1471,0.066
"80","Bernie Sanders","fear","April",20,198,0.101
"81","Bernie Sanders","fear","May",9,77,0.117
"82","Bernie Sanders","joy","December",80,952,0.084
"83","Bernie Sanders","joy","January",145,1827,0.079
"84","Bernie Sanders","joy","February",123,1409,0.087
"85","Bernie Sanders","joy","March",117,1471,0.08
"86","Bernie Sanders","joy","April",12,198,0.061
"87","Bernie Sanders","joy","May",3,77,0.039
"88","Bernie Sanders","negative","December",114,952,0.12
"89","Bernie Sanders","negative","January",221,1827,0.121
"90","Bernie Sanders","negative","February",164,1409,0.116
"91","Bernie Sanders","negative","March",190,1471,0.129
"92","Bernie Sanders","negative","April",30,198,0.152
"93","Bernie Sanders","negative","May",13,77,0.169
"94","Bernie Sanders","positive","December",206,952,0.216
"95","Bernie Sanders","positive","January",407,1827,0.223
"96","Bernie Sanders","positive","February",367,1409,0.26
"97","Bernie Sanders","positive","March",324,1471,0.22
"98","Bernie Sanders","positive","April",49,198,0.247
"99","Bernie Sanders","positive","May",21,77,0.273
"100","Bernie Sanders","sadness","December",50,952,0.053
"101","Bernie Sanders","sadness","January",100,1827,0.055
"102","Bernie Sanders","sadness","February",70,1409,0.05
"103","Bernie Sanders","sadness","March",106,1471,0.072
"104","Bernie Sanders","sadness","April",19,198,0.096
"105","Bernie Sanders","sadness","May",8,77,0.104
"106","Bernie Sanders","surprise","December",59,952,0.062
"107","Bernie Sanders","surprise","January",94,1827,0.051
"108","Bernie Sanders","surprise","February",95,1409,0.067
"109","Bernie Sanders","surprise","March",102,1471,0.069
"110","Bernie Sanders","surprise","April",7,198,0.035
"111","Bernie Sanders","trust","December",127,952,0.133
"112","Bernie Sanders","trust","January",285,1827,0.156
"113","Bernie Sanders","trust","February",203,1409,0.144
"114","Bernie Sanders","trust","March",203,1471,0.138
"115","Bernie Sanders","trust","April",29,198,0.146
"116","Bernie Sanders","trust","May",10,77,0.13
"117","Donald Trump","anger","December",11,206,0.053
"118","Donald Trump","anger","January",30,563,0.053
"119","Donald Trump","anger","February",16,403,0.04
"120","Donald Trump","anger","March",14,535,0.026
"121","Donald Trump","anger","April",23,428,0.054
"122","Donald Trump","anger","May",2,114,0.018
"123","Donald Trump","anticipation","December",25,206,0.121
"124","Donald Trump","anticipation","January",60,563,0.107
