name,date,followers,followers_change
barackobama,"May 11, 2020",27722653,36300
barackobama,"May 10, 2020",27686353,19567
barackobama,"May 9, 2020",27666786,12678
barackobama,"May 8, 2020",27654108,13325
barackobama,"May 7, 2020",27640783,16229
barackobama,"May 6, 2020",27624554,17311
barackobama,"May 5, 2020",27607243,9809
barackobama,"May 4, 2020",27597434,11353
barackobama,"May 3, 2020",27586081,10682
barackobama,"May 2, 2020",27575399,8440
barackobama,"May 1, 2020",27566959,6665
barackobama,"April 30, 2020",27560294,10595
barackobama,"April 29, 2020",27549699,11511
barackobama,"April 28, 2020",27538188,11276
barackobama,"April 27, 2020",27526912,12074
barackobama,"April 26, 2020",27514838,9804
barackobama,"April 25, 2020",27505034,12679
barackobama,"April 24, 2020",27492355,9353
barackobama,"April 23, 2020",27483002,9710
barackobama,"April 22, 2020",27473292,3870
barackobama,"April 21, 2020",27469422,14373
barackobama,"April 20, 2020",27455049,17099
barackobama,"April 19, 2020",27437950,14384
barackobama,"April 18, 2020",27423566,9487
barackobama,"April 17, 2020",27414079,14123
barackobama,"April 16, 2020",27399956,26684
barackobama,"April 15, 2020",27373272,31287
barackobama,"April 14, 2020",27341985,12605
barackobama,"April 13, 2020",27329380,16568
barackobama,"April 12, 2020",27312812,14708
barackobama,"April 11, 2020",27298104,7140
barackobama,"April 10, 2020",27290964,7503
barackobama,"April 9, 2020",27283461,6232
barackobama,"April 8, 2020",27277229,3821
barackobama,"April 7, 2020",27273408,6637
barackobama,"April 6, 2020",27266771,9328
barackobama,"April 5, 2020",27257443,11775
barackobama,"April 4, 2020",27245668,12355
barackobama,"April 3, 2020",27233313,8492
barackobama,"April 2, 2020",27224821,6004
barackobama,"April 1, 2020",27218817,6752
barackobama,"March 31, 2020",27212065,7080
barackobama,"March 30, 2020",27204985,8197
barackobama,"March 29, 2020",27196788,11477
barackobama,"March 28, 2020",27185311,6387
barackobama,"March 27, 2020",27178924,7898
barackobama,"March 26, 2020",27171026,7826
barackobama,"March 25, 2020",27163200,10513
barackobama,"March 24, 2020",27152687,8456
barackobama,"March 23, 2020",27144231,8525
barackobama,"March 22, 2020",27135706,9064
barackobama,"March 21, 2020",27126642,8770
barackobama,"March 20, 2020",27117872,9974
barackobama,"March 19, 2020",27107898,12086
barackobama,"March 18, 2020",27095812,17639
barackobama,"March 17, 2020",27078173,8146
barackobama,"March 16, 2020",27070027,10823
barackobama,"March 15, 2020",27059204,15239
barackobama,"March 14, 2020",27043965,11923
barackobama,"March 13, 2020",27032042,8151
barackobama,"March 12, 2020",27023891,3526
barackobama,"March 11, 2020",27020365,4014
barackobama,"March 10, 2020",27016351,6216
barackobama,"March 9, 2020",27010135,5382
barackobama,"March 8, 2020",27004753,4659
barackobama,"March 7, 2020",27000094,5069
barackobama,"March 6, 2020",26995025,9797
barackobama,"March 5, 2020",26985228,5622
barackobama,"March 4, 2020",26979606,3633
barackobama,"March 3, 2020",26975973,4212
barackobama,"March 2, 2020",26971761,5698
barackobama,"March 1, 2020",26966063,3603
barackobama,"February 29, 2020",26962460,3109
barackobama,"February 28, 2020",26959351,3791
barackobama,"February 27, 2020",26955560,5096
barackobama,"February 26, 2020",26950464,7270
barackobama,"February 25, 2020",26943194,8125
barackobama,"February 24, 2020",26935069,6941
barackobama,"February 23, 2020",26928128,9710
barackobama,"February 22, 2020",26918418,10262
barackobama,"February 21, 2020",26908156,8462
barackobama,"February 20, 2020",26899694,12482
barackobama,"February 19, 2020",26887212,10635
barackobama,"February 18, 2020",26876577,10996
barackobama,"February 17, 2020",26865581,12000
barackobama,"February 16, 2020",26853581,27159
barackobama,"February 15, 2020",26826422,25416
barackobama,"February 14, 2020",26801006,7909
barackobama,"February 13, 2020",26793097,8590
barackobama,"February 12, 2020",26784507,14346
barackobama,"February 11, 2020",26770161,31609
barackobama,"February 10, 2020",26738552,4967
barackobama,"February 9, 2020",26733585,6089
barackobama,"February 8, 2020",26727496,4124
barackobama,"February 7, 2020",26723372,6667
barackobama,"February 6, 2020",26716705,7084
barackobama,"February 5, 2020",26709621,4814
barackobama,"February 4, 2020",26704807,5600
barackobama,"February 3, 2020",26699207,8465
barackobama,"February 2, 2020",26690742,10699
barackobama,"February 1, 2020",26680043,12000
barackobama,"January 31, 2020",26668043,11331
barackobama,"January 30, 2020",26656712,12956
barackobama,"January 29, 2020",26643756,16171
barackobama,"January 28, 2020",26627585,31923
barackobama,"January 27, 2020",26595662,43150
barackobama,"January 26, 2020",26552512,21986
barackobama,"January 25, 2020",26530526,23620
barackobama,"January 24, 2020",26506906,21784
barackobama,"January 23, 2020",26485122,23177
barackobama,"January 22, 2020",26461945,28243
barackobama,"January 21, 2020",26433702,25027
barackobama,"January 20, 2020",26408675,38975
barackobama,"January 19, 2020",26369700,205794
barackobama,"January 18, 2020",26163906,399759
barackobama,"January 17, 2020",25764147,5982
barackobama,"January 16, 2020",25758165,6378
barackobama,"January 15, 2020",25751787,7279
barackobama,"January 14, 2020",25744508,5997
barackobama,"January 13, 2020",25738511,10686
barackobama,"January 12, 2020",25727825,12312
barackobama,"January 11, 2020",25715513,14265
barackobama,"January 10, 2020",25701248,16976
barackobama,"January 9, 2020",25684272,19769
barackobama,"January 8, 2020",25664503,15496
barackobama,"January 7, 2020",25649007,13956
barackobama,"January 6, 2020",25635051,18533
barackobama,"January 5, 2020",25616518,20435
barackobama,"January 4, 2020",25596083,14505
barackobama,"January 3, 2020",25581578,8759
barackobama,"January 2, 2020",25572819,12093
barackobama,"January 1, 2020",25560726,24233
barackobama,"December 31, 2019",25536493,49160
barackobama,"December 30, 2019",25487333,18834
barackobama,"December 29, 2019",25468499,7643
barackobama,"December 28, 2019",25460856,7796
barackobama,"December 27, 2019",25453060,7618
barackobama,"December 26, 2019",25445442,6332
barackobama,"December 25, 2019",25439110,8823
barackobama,"December 24, 2019",25430287,4732
barackobama,"December 23, 2019",25425555,4132
barackobama,"December 22, 2019",25421423,4769
barackobama,"December 21, 2019",25416654,5912
barackobama,"December 20, 2019",25410742,9415
barackobama,"December 19, 2019",25401327,5901
barackobama,"December 18, 2019",25395426,3079
barackobama,"December 17, 2019",25392347,3529
barackobama,"December 16, 2019",25388818,1834
barackobama,"December 15, 2019",25386984,4925
barackobama,"December 14, 2019",25382059,6152
barackobama,"December 13, 2019",25375907,5461
barackobama,"December 12, 2019",25370446,2655
barackobama,"December 11, 2019",25367791,1913
barackobama,"December 10, 2019",25365878,2583
barackobama,"December 9, 2019",25363295,3824
barackobama,"December 8, 2019",25359471,3785
barackobama,"December 7, 2019",25355686,3560
barackobama,"December 6, 2019",25352126,3891
barackobama,"December 5, 2019",25348235,-18891
barackobama,"December 4, 2019",25367126,999
barackobama,"December 3, 2019",25366127,21456
